site_no,station_nm,lat,long,datum,altitude,gh,gh_start,gh_end,sf,sf_start,sf_end,huc10,huc10_name,huc10_area
03250310,"ROCK LICK CR AB UNNAMED TRIB NR SHARKEY, KY STAT A",38.25119,-83.566025,NAD83,,0,,,1,1996-07-24 00:00:00,2009-07-08 23:45:00,0510010108,Fox Creek-Licking River,863.61
03250322,"ROCK LICK CR AT STATE HWY 158 NR SHARKEY, KY STA D",38.247303,-83.589355,NAD83,644.42,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2003-10-01 01:00:00,2024-04-03 01:00:00,0510010108,Fox Creek-Licking River,863.61
03250500,"LICKING RIVER AT BLUE LICK SPRINGS, KY",38.420074,-83.99743,NAD83,559.6,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2001-10-01 00:00:00,2024-04-03 01:00:00,0510010111,Johnson Creek-Licking River,834.17
03251000,"NORTH FORK LICKING RIVER NEAR LEWISBURG, KY",38.549244,-83.79353,NAD83,680.0,0,,,1,1987-10-01 00:30:00,1991-09-30 23:30:00,0510010110,North Fork Licking River,798.18
03251200,"NORTH FORK LICKING RIVER NEAR MT OLIVET, KY",38.594795,-84.0202,NAD83,627.94,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1991-06-15 00:00:00,2024-04-03 01:00:00,0510010110,North Fork Licking River,798.18
03251500,"LICKING RIVER AT MCKINNEYSBURG, KY",38.60007,-84.26633,NAD83,520.25,1,2007-10-04 00:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2024-04-03 01:00:00,0510010112,Grassy Creek-Licking River,750.72
03251900,"STONER CREEK AT WATER PLANT AT PARIS, KY",38.205,-84.23805,NAD83,772.57,1,2015-09-23 09:00:00,2024-04-03 01:00:00,1,2015-09-26 09:00:00,2024-04-03 01:00:00,0510010202,Stoner Creek,518.92
03251980,"HOUSTON CREEK AT HWY 27 NEAR PARIS, KY",38.190277,-84.28167,NAD83,811.81,1,2015-09-23 21:30:00,2024-04-03 01:00:00,1,2015-10-01 01:00:00,2024-04-03 01:00:00,0510010202,Stoner Creek,518.92
03252000,"STONER CREEK AT PARIS, KY",38.229244,-84.25604,NAD83,770.43,0,,,1,1987-10-02 00:00:00,1991-09-30 23:00:00,0510010202,Stoner Creek,518.92
03252300,"HINKSTON CREEK NEAR CARLISLE, KY",38.247437,-84.05515,NAD83,763.85,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1991-10-31 00:00:00,2024-04-03 01:00:00,0510010203,Hinkston Creek,673.76
03252500,"SOUTH FORK LICKING RIVER AT CYNTHIANA, KY",38.390907,-84.30299,NAD83,687.82,1,2010-10-16 00:00:00,2024-04-03 01:00:00,0,,,0510010204,Raven Creek-South Fork Licking River,635.97
03253000,"SOUTH FORK LICKING RIVER AT HAYES, KY",38.65868,-84.35188,NAD83,536.5,1,2013-03-05 11:30:00,2024-04-03 01:00:00,1,2013-03-06 00:00:00,2024-04-03 01:00:00,0510010205,Fork Lick Creek-South Fork Licking River,357.4
03253500,"LICKING RIVER AT CATAWBA, KY",38.710346,-84.31077,NAD83,499.16,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1986-03-28 00:00:00,2024-04-03 01:00:00,0510010112,Grassy Creek-Licking River,750.72
03254480,"CRUISES CREEK AT HWY 17 NR PINER, KY",38.844444,-84.53222,NAD83,656.92,1,2007-10-22 18:00:00,2021-11-04 11:00:00,1,2000-12-02 00:00:00,2021-11-04 11:00:00,0510010113,Banklick Creek-Licking River,485.27
03254520,"LICKING RIVER AT HWY 536 NEAR ALEXANDRIA, KY",38.92034,-84.448,NAD83,448.82,1,2013-10-01 01:00:00,2024-04-03 01:00:00,1,2007-10-23 00:00:00,2024-04-03 01:00:00,0510010113,Banklick Creek-Licking River,485.27
03254550,"BANKLICK CREEK @ HIGHWAY 1829 NR ERLANGER, KY",38.980556,-84.541664,NAD83,539.56,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1999-04-03 00:00:00,2024-04-03 01:00:00,0510010113,Banklick Creek-Licking River,485.27
03254693,"THREEMILE CREEK AT THREE MILE ROAD AT COVINGTON,KY",39.050205,-84.48505,NAD83,473.61,1,2013-06-20 20:00:00,2024-04-03 01:00:00,1,2013-06-21 00:00:00,2024-04-03 01:00:00,0510010113,Banklick Creek-Licking River,485.27
03255000,"OHIO RIVER AT CINCINNATI, OH",39.094505,-84.5105,NAD83,428.05,1,2007-10-01 01:00:00,2024-04-03 01:00:00,0,,,0509020302,Muddy Creek-Ohio River,293.77
03260015,"PLEASANT RUN CREEK AT OAK STREET NEAR LUDLOW, KY",39.085114,-84.558136,NAD83,470.16,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2007-10-01 01:00:00,2024-04-03 01:00:00,0509020302,Muddy Creek-Ohio River,293.77
03260050,"DRY CREEK AT SEWAGE PLANT NEAR ERLANGER, KY",39.060585,-84.61992,NAD83,487.87,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2007-10-01 01:00:00,2024-04-03 01:00:00,0509020302,Muddy Creek-Ohio River,293.77
03260100,"ELIJAHS CREEK @ ELIJAHS CREEK RD NR HEBRON, KY",39.079723,-84.68528,NAD83,759.86,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1999-04-09 00:00:00,2024-04-03 01:00:00,0509020302,Muddy Creek-Ohio River,293.77
03260270,"SAND RUN AT THORNWILDE DR AT FRANCISVILLE, KY",39.104584,-84.729195,NAD83,718.75,1,2021-09-15 07:30:00,2024-04-03 01:00:00,0,,,0509020302,Muddy Creek-Ohio River,293.77
03262001,"WOOLPER CREEK AT WOOLPER ROAD NEAR BURLINGTON, KY",39.03,-84.80417,NAD83,490.19,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2000-12-02 00:00:00,2024-04-03 01:00:00,0509020308,Gunpowder Creek-Ohio River,572.18
03277075,"GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY",38.994167,-84.71611,NAD83,683.06,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1999-04-01 00:00:00,2024-04-03 01:00:00,0509020308,Gunpowder Creek-Ohio River,572.18
03277130,"MUD LICK CR AT HWY 42 NR BEAVERLICK, KY",38.845062,-84.72078,NAD83,488.11,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2000-12-12 00:00:00,2024-04-03 01:00:00,0509020310,Big Bone Creek-Ohio River,683.89
03277200,"OHIO RIVER AT MARKLAND DAM NEAR WARSAW, KY",38.77534,-84.83911,NAD83,406.65,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2015-10-01 01:00:00,2024-04-03 01:00:00,0509020310,Big Bone Creek-Ohio River,683.89
03277300,"NORTH FORK KENTUCKY RIVER AT WHITESBURG, KY",37.1176,-82.82461,NAD83,1127.4,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1998-10-01 00:30:00,2024-04-03 01:00:00,0510020101,Rockhouse Creek-North Fork Kentucky River,485.15
03277446,"CARR CREEK LAKE NEAR SASSAFRAS, KY",37.230373,-83.0335,NAD83,,1,2021-04-03 00:00:00,2024-04-03 01:00:00,0,,,0510020102,Carr Fork,221.32
03277450,"CARR FORK NEAR SASSAFRAS, KY",37.23332,-83.03375,NAD83,943.6,1,2012-10-01 01:00:00,2024-04-03 01:00:00,0,,,0510020102,Carr Fork,221.32
03277500,"NORTH FORK KENTUCKY RIVER AT HAZARD, KY",37.246582,-83.18278,NAD83,829.2,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 00:00:00,2024-04-03 01:00:00,0510020103,Line Fork-North Fork Kentucky River,669.55
03280000,"NORTH FORK KENTUCKY RIVER AT JACKSON, KY",37.55231,-83.385735,NAD83,697.7,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2016-10-25 01:00:00,2024-04-03 01:00:00,0510020107,Frozen Creek-North Fork Kentucky River,610.08
03280600,"MIDDLE FORK KENTUCKY RIVER NEAR HYDEN, KY",37.13735,-83.371025,NAD83,833.0,1,2008-03-23 01:00:00,2018-04-19 14:15:00,1,1988-04-09 00:00:00,1991-09-30 23:00:00,0510020202,Upper Middle Fork Kentucky River,629.68
03280612,"MIDDLE FORK KENTUCKY RIVER AT HWY 2431 AT HYDEN,KY",37.146202,-83.381294,NAD83,821.47,1,2018-05-01 15:30:00,2024-04-03 01:00:00,0,,,0510020202,Upper Middle Fork Kentucky River,629.68
03280700,"CUTSHIN CREEK AT WOOTON, KY",37.165092,-83.30795,NAD83,869.29,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 00:00:00,2024-04-03 01:00:00,0510020201,Cutshin Creek,238.68
03280790,"TRACE BR AT TRACE BR CAMPGROUND AT CONFLUENCE, KY",37.271988,-83.36985,NAD83,776.7,1,2017-08-15 10:20:00,2024-03-12 08:00:00,0,,,0510020203,Middle Middle Fork Kentucky River,189.41
03280800,"BUCKHORN LAKE AT BUCKHORN, KY",37.34009,-83.470184,NAD83,,1,2023-12-05 00:00:00,2024-04-03 01:00:00,0,,,0510020203,Middle Middle Fork Kentucky River,189.41
03280902,"MIDDLE FK KENTUCKY RIVER AT HWY28 NR BUCKHORN, KY",37.343277,-83.44786,NAD83,712.1,1,2021-11-16 11:00:00,2024-04-03 01:00:00,0,,,0510020204,Lower Middle Fork Kentucky River,390.4
03281000,"MIDDLE FORK KENTUCKY RIVER AT TALLEGA, KY",37.555088,-83.593796,NAD83,641.55,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1986-10-16 00:00:00,2024-04-03 01:00:00,0510020204,Lower Middle Fork Kentucky River,390.4
03281100,"GOOSE CREEK AT MANCHESTER, KY",37.152035,-83.7602,NAD83,818.81,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2024-04-03 01:00:00,0510020303,Lower Goose Creek,315.98
03281500,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY",37.47981,-83.67519,NAD83,641.91,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2024-04-03 01:00:00,0510020306,Meadow Creek-South Fork Kentucky River,328.97
03282000,"KENTUCKY RIVER AT LOCK 14 AT HEIDELBERG, KY",37.553143,-83.76936,NAD83,625.39,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-02-11 00:00:00,2024-04-03 01:00:00,0510020401,Sturgeon Creek-Kentucky River,355.5
03282040,"STURGEON CREEK AT CRESSMONT, KY",37.50064,-83.810196,NAD83,703.87,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1992-10-01 01:00:00,2024-04-03 01:00:00,0510020401,Sturgeon Creek-Kentucky River,355.5
03282060,"KENTUCKY RIVER AT LOCK 13 NEAR WILLOW SHOALS, KY",37.60189,-83.83337,NAD83,607.52,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2004-08-19 00:00:00,2024-04-03 01:00:00,0510020405,Millers Creek-Kentucky River,650.09
03282075,"BIG SINKING CREEK NEAR CRYSTAL, KY",37.63953,-83.78464,NAD83,,0,,,1,1987-03-07 00:00:00,1989-03-31 23:30:00,0510020405,Millers Creek-Kentucky River,650.09
03282100,"FURNACE FORK NEAR CRYSTAL , KY",37.68925,-83.85742,NAD83,,0,,,1,1987-03-01 00:00:00,1989-03-31 23:30:00,0510020405,Millers Creek-Kentucky River,650.09
03282120,"KENTUCKY RIVER AT LOCK 12 NEAR IRVINE, KY",37.678333,-83.94833,NAD83,589.93,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2000-10-01 00:00:00,2024-04-03 01:00:00,0510020405,Millers Creek-Kentucky River,650.09
03282290,"KENTUCKY RIVER AT LOCK 11 NEAR COLLEGE HILL, KY",37.78397,-84.103264,NAD83,572.7,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2002-10-01 01:00:00,2024-04-03 01:00:00,0510020405,Millers Creek-Kentucky River,650.09
03282500,"RED RIVER NEAR HAZEL GREEN, KY",37.809254,-83.45769,NAD83,869.69,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 00:30:00,2024-04-03 01:00:00,0510020402,Upper Red River,769.32
03283370,"CAT CREEK NEAR STANTON, KY",37.832027,-83.81131,NAD83,,0,,,1,1987-03-01 00:30:00,1989-03-31 23:30:00,0510020403,Lower Red River,495.75
03283500,"RED RIVER AT CLAY CITY, KY",37.864803,-83.93353,NAD83,599.8,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 00:08:00,2024-04-03 01:00:00,0510020403,Lower Red River,495.75
03284000,"KENTUCKY RIVER AT LOCK 10 NEAR WINCHESTER, KY",37.893967,-84.26048,NAD83,556.1,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-01-30 00:00:00,2024-04-03 01:00:00,0510020501,Muddy Creek-Kentucky River,601.83
03284230,"KENTUCKY RIVER AT LOCK 9 AT VALLEY VIEW, KY",37.843967,-84.44063,NAD83,538.0,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2009-10-01 00:00:00,2024-04-03 01:00:00,0510020503,Paint Lick Creek-Kentucky River,862.82
03284500,"KENTUCKY RIVER AT LOCK 8 NEAR CAMP NELSON, KY",37.745358,-84.58661,NAD83,520.18,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2002-10-01 01:00:00,2024-04-03 01:00:00,0510020503,Paint Lick Creek-Kentucky River,862.82
03284520,"EAST HICKMAN CR AT ANDOVER VILLAGE NR CADENTOWN,KY",37.9973,-84.40549,NAD83,,0,,,1,1997-09-05 00:00:00,2010-09-30 23:55:00,0510020506,Hickman Creek,259.11
03284525,"E HICKMAN CR TRIB AT CHILESBURG RD NR LEXINGTON,KY",37.98841,-84.41105,NAD83,976.22,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1997-09-04 00:00:00,2024-04-03 01:00:00,0510020506,Hickman Creek,259.11
03284530,"EAST HICKMAN CR AT DELONG RD NR EAST HICKMAN, KY",37.949802,-84.455215,NAD83,,0,,,1,1997-09-04 00:00:00,2010-09-30 23:55:00,0510020506,Hickman Creek,259.11
03284533,"EAST HICKMAN CR AT TATES CR RD NR EAST HICKMAN, KY",37.93833,-84.478615,NAD83,884.64,1,2012-06-14 07:10:00,2024-04-03 01:00:00,1,2012-10-01 00:00:00,2024-04-03 01:00:00,0510020506,Hickman Creek,259.11
03284552,"WEST HICKMAN CR AT VETERANS PARK NR LEXINGTON, KY",37.95778,-84.501114,NAD83,881.67,1,2012-06-12 07:10:00,2024-04-03 01:00:00,1,2012-10-01 00:00:00,2024-04-03 01:00:00,0510020506,Hickman Creek,259.11
03284555,"WEST HICKMAN CR @ ASH GROVE PK NR EAST HICKMAN, KY",37.934525,-84.50216,NAD83,,0,,,1,1997-10-01 00:00:00,2010-09-30 23:55:00,0510020506,Hickman Creek,259.11
03285000,"DIX RIVER NEAR DANVILLE, KY",37.642025,-84.660774,NAD83,749.65,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1986-06-10 00:00:00,2024-04-03 01:00:00,0510020505,Lower Dix River,628.3
03285200,"CLARKS RUN NEAR DANVILLE, KY",37.638966,-84.721054,NAD83,,0,,,1,1992-05-02 00:00:00,1997-09-30 23:30:00,0510020505,Lower Dix River,628.3
03285290,SPEARS CREEK AT STREAMLAND DRIVE,37.67091,-84.77578,NAD83,,0,,,1,2000-05-27 00:00:00,2000-09-04 23:55:00,0510020505,Lower Dix River,628.3
03285335,MOCKS BRANCH AT HIGHWAY 1896,37.70508,-84.80301,NAD83,,0,,,1,2000-06-08 00:00:00,2001-08-13 23:55:00,0510020505,Lower Dix River,628.3
03286200,"DIX RIVER AT DIX DAM NEAR BURGIN, KY",37.793133,-84.706055,NAD83,,1,2007-11-08 17:15:00,2024-04-03 01:00:00,1,2008-09-30 00:15:00,2024-04-03 01:00:00,0510020505,Lower Dix River,628.3
03286500,"KENTUCKY RIVER AT LOCK 7 AT HIGHBRIDGE, KY",37.829247,-84.72384,NAD83,503.25,1,2009-10-01 00:00:00,2024-04-03 01:00:00,1,1992-12-29 00:00:00,2024-04-03 01:00:00,0510020507,Clear Creek-Kentucky River,895.65
03287000,"KENTUCKY RIVER AT LOCK 6 NEAR SALVISA, KY",37.925632,-84.821335,NAD83,487.89,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1986-07-17 00:00:00,2024-04-03 01:00:00,0510020507,Clear Creek-Kentucky River,895.65
03287250,"KENTUCKY RIVER AT LOCK 5 NEAR TYRONE, KY",38.05288,-84.8312,NAD83,473.22,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2003-10-01 00:00:00,2024-04-03 01:00:00,0510020507,Clear Creek-Kentucky River,895.65
03287500,"KENTUCKY RIVER AT LOCK 4 AT FRANKFORT, KY",38.20174,-84.881615,NAD83,461.58,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2024-04-03 01:00:00,0510020507,Clear Creek-Kentucky River,895.65
03287580,"N ELKHORN CR AT MAN O WAR BLVD NR CADENTOWN, KY",38.02841,-84.40188,NAD83,,0,,,1,1997-10-01 00:00:00,2012-06-10 23:55:00,0510020508,North Elkhorn Creek,714.57
03287590,"N ELKHORN CR AT WINCHESTER RD NR LEXINGTON, KY",38.04007,-84.41111,NAD83,920.8,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1997-10-02 00:00:00,2024-04-03 01:00:00,0510020508,North Elkhorn Creek,714.57
03287600,"N ELKHORN CR AT BRYAN STATION RD AT MONTROSE, KY",38.076466,-84.41327,NAD83,891.54,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1997-10-01 00:00:00,2024-04-03 01:00:00,0510020508,North Elkhorn Creek,714.57
03288100,"NORTH ELKHORN CREEK AT GEORGETOWN, KY",38.21952,-84.562996,NAD83,784.09,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1992-12-12 00:00:00,2024-04-03 01:00:00,0510020508,North Elkhorn Creek,714.57
