site_no,station_nm,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,rt_bol
03249500,"LICKING RIVER AT FARMERS, KY",38.11535945,-83.54324310,F,NAD83, 645.93,,,05100101,,1
03249505,"LICKING RIVER AT HWY 60 AT FARMERS, KY",38.14008125,-83.55713270,F,NAD83, 645.93,,,05100101,,1
03250000,"TRIPLETT CREEK AT MOREHEAD, KY",38.18452604,-83.42990620,U,NAD83, 708.26,,,05100101,,1
03250100,"NORTH FORK TRIPLETT CREEK NEAR MOREHEAD, KY",38.19924780,-83.48046350,U,NAD83, 677.40,,,05100101,,1
03250190,"SLATE CREEK AT HIGHWAY 713 NR MT. STERLING, KY",38.02396899,-83.83158540,H,NAD83, 749.03,,,05100101,,1
03250310,"ROCK LICK CR AB UNNAMED TRIB NR SHARKEY, KY STAT A",38.25119100,-83.56602250,U,NAD83,,,,05100101,,1
03250322,"ROCK LICK CR AT STATE HWY 158 NR SHARKEY, KY STA D",38.24730198,-83.58935670,F,NAD83, 644.42,,,05100101,,1
03250500,"LICKING RIVER AT BLUE LICK SPRINGS, KY",38.42007490,-83.99742610,S,NAD83, 559.60,,,05100101,,1
03251000,"NORTH FORK LICKING RIVER NEAR LEWISBURG, KY",38.54924220,-83.79353220,U,NAD83, 680,,,05100101,,1
03251200,"NORTH FORK LICKING RIVER NEAR MT OLIVET, KY",38.59479550,-84.02020560,F,NAD83, 627.94,,,05100101,,1
03251500,"LICKING RIVER AT MCKINNEYSBURG, KY",38.60007244,-84.26632390,H,NAD83, 520.25,,,05100101,,1
03251900,"STONER CREEK AT WATER PLANT AT PARIS, KY",38.20500000,-84.23805560,1,NAD83, 772.57,,,05100102,,1
03251980,"HOUSTON CREEK AT HWY 27 NEAR PARIS, KY",38.19027778,-84.28166670,1,NAD83, 811.81,,,05100102,,1
03252000,"STONER CREEK AT PARIS, KY",38.22924295,-84.25604260,U,NAD83, 770.43,,,05100102,,1
03252300,"HINKSTON CREEK NEAR CARLISLE, KY",38.24743680,-84.05514979,1,NAD83, 763.85,,,05100102,,1
03253000,"SOUTH FORK LICKING RIVER AT HAYES, KY",38.65868170,-84.35188140,U,NAD83, 536.50,,,05100102,,1
03253500,"LICKING RIVER AT CATAWBA, KY",38.71034780,-84.31076930,F,NAD83, 499.16,,,05100101,,1
03254480,"CRUISES CREEK AT HWY 17 NR PINER, KY",38.84444444,-84.53222220,H,NAD83, 656.92,,,05100101,,1
03254520,"LICKING RIVER AT HWY 536 NEAR ALEXANDRIA, KY",38.92034170,-84.44799549,S,NAD83, 448.82,,,05100101,,1
03254550,"BANKLICK CREEK @ HIGHWAY 1829 NR ERLANGER, KY",38.98055556,-84.54166670,H,NAD83, 539.56,,,05100101,,1
03254693,"THREEMILE CREEK AT THREE MILE ROAD AT COVINGTON,KY",39.05020525,-84.48504740,S,NAD83, 473.61,,,05100101,,1
03260015,"PLEASANT RUN CREEK AT OAK STREET NEAR LUDLOW, KY",39.08511540,-84.55813810,1,NAD83, 470.16,,,05090203,,1
03260050,"DRY CREEK AT SEWAGE PLANT NEAR ERLANGER, KY",39.06058330,-84.61991670,1,NAD83, 487.87,,,05090203,,1
03260100,"ELIJAHS CREEK @ ELIJAHS CREEK RD NR HEBRON, KY",39.07972220,-84.68527780,H,NAD83, 759.86,,,05090203,,1
03262001,"WOOLPER CREEK AT WOOLPER ROAD NEAR BURLINGTON, KY",39.03000000,-84.80416670,H,NAD83, 490.19,,,05090203,,1
03277075,"GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY",38.99416667,-84.71611110,H,NAD83, 683.06,,,05090203,,1
03277130,"MUD LICK CR AT HWY 42 NR BEAVERLICK, KY",38.84506350,-84.72077969,H,NAD83, 488.11,,,05090203,,1
03277200,"OHIO RIVER AT MARKLAND DAM NEAR WARSAW, KY",38.77534150,-84.83911460,F,NAD83, 406.65,,,05090203,,1
03277300,"NORTH FORK KENTUCKY RIVER AT WHITESBURG, KY",37.11759849,-82.82460429,F,NAD83, 1127.40,,,05100201,,1
03277500,"NORTH FORK KENTUCKY RIVER AT HAZARD, KY",37.24658330,-83.18277780,1,NAD83, 829.20,,,05100201,,1
03280000,"NORTH FORK KENTUCKY RIVER AT JACKSON, KY",37.55231228,-83.38573580,F,NAD83, 697.70,,,05100201,,1
03280600,"MIDDLE FORK KENTUCKY RIVER NEAR HYDEN, KY",37.13734720,-83.37102320,1,NAD83, 833.00,,,05100202,,1
03280700,"CUTSHIN CREEK AT WOOTON, KY",37.16509310,-83.30795640,F,NAD83, 869.29,,,05100202,,1
03281000,"MIDDLE FORK KENTUCKY RIVER AT TALLEGA, KY",37.55508768,-83.59379930,F,NAD83, 641.55,,,05100202,,1
03281100,"GOOSE CREEK AT MANCHESTER, KY",37.15203405,-83.76019740,U,NAD83, 818.81,,,05100203,,1
03281500,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY",37.47981018,-83.67519230,F,NAD83, 641.91,,,05100203,,1
03282000,"KENTUCKY RIVER AT LOCK 14 AT HEIDELBERG, KY",37.55314180,-83.76936250,F,NAD83, 625.39,,,05100204,,1
03282040,"STURGEON CREEK AT CRESSMONT, KY",37.50064220,-83.81019790,U,NAD83, 703.87,,,05100204,,1
03282060,"KENTUCKY RIVER AT LOCK 13 NEAR WILLOW SHOALS, KY",37.60189058,-83.83336439,1,NAD83, 607.52,,,05100204,,1
03282075,"BIG SINKING CREEK NEAR CRYSTAL, KY",37.63952930,-83.78464000,U,NAD83,,,,,,1
03282100,"FURNACE FORK NEAR CRYSTAL , KY",37.68925020,-83.85741990,U,NAD83,,,,05100205,,1
03282120,"KENTUCKY RIVER AT LOCK 12 NEAR IRVINE, KY",37.67833330,-83.94833330,H,NAD83, 589.93,,,05100205,,1
03282290,"KENTUCKY RIVER AT LOCK 11 NEAR COLLEGE HILL, KY",37.78396929,-84.10326020,S,NAD83, 572.70,,,05100205,,1
03282500,"RED RIVER NEAR HAZEL GREEN, KY",37.80925288,-83.45768398,S,NAD83, 869.69,,,05100204,,1
03283370,"CAT CREEK NEAR STANTON, KY",37.83202665,-83.81130650,U,NAD83,,,,,,1
03283500,"RED RIVER AT CLAY CITY, KY",37.86480329,-83.93353280,F,NAD83, 599.80,,,05100204,,1
03284000,"KENTUCKY RIVER AT LOCK 10 NEAR WINCHESTER, KY",37.89396779,-84.26048609,F,NAD83, 556.10,,,05100205,,1
03284230,"KENTUCKY RIVER AT LOCK 9 AT VALLEY VIEW, KY",37.84396800,-84.44063039,1,NAD83, 538.00,,,05100205,,1
03284500,"KENTUCKY RIVER AT LOCK 8 NEAR CAMP NELSON, KY",37.74535715,-84.58660740,F,NAD83, 520.18,,,05100205,,1
03284520,"EAST HICKMAN CR AT ANDOVER VILLAGE NR CADENTOWN,KY",37.99730040,-84.40549070,F,NAD83,,,,05100205,,1
03284525,"E HICKMAN CR TRIB AT CHILESBURG RD NR LEXINGTON,KY",37.98841157,-84.41104650,F,NAD83, 976.22,,,05100205,,1
03284530,"EAST HICKMAN CR AT DELONG RD NR EAST HICKMAN, KY",37.94980060,-84.45521450,F,NAD83,,,,05100205,,1
03284533,"EAST HICKMAN CR AT TATES CR RD NR EAST HICKMAN, KY",37.93833330,-84.47861110,M,NAD83, 884.64,,,05100205,,1
03284552,"WEST HICKMAN CR AT VETERANS PARK NR LEXINGTON, KY",37.95777778,-84.50111110,M,NAD83, 881.67,,,05100205,,1
03284555,"WEST HICKMAN CR @ ASH GROVE PK NR EAST HICKMAN, KY",37.93452286,-84.50216040,F,NAD83,,,,05100205,,1
03285000,"DIX RIVER NEAR DANVILLE, KY",37.64202340,-84.66077680,F,NAD83, 749.65,,,05100205,,1
03285200,"CLARKS RUN NEAR DANVILLE, KY",37.63896704,-84.72105690,U,NAD83,,,,,,1
03285290,SPEARS CREEK AT STREAMLAND DRIVE,37.67091065,-84.77578160,U,NAD83,,,,05100205,,1
03285335,MOCKS BRANCH AT HIGHWAY 1896,37.70507677,-84.80300530,U,NAD83,,,,05100205,,1
03286200,"DIX RIVER AT DIX DAM NEAR BURGIN, KY",37.79313390,-84.70605660,U,NAD83,,,,05100205,,1
03286500,"KENTUCKY RIVER AT LOCK 7 AT HIGHBRIDGE, KY",37.82924470,-84.72383500,F,NAD83, 503.25,,,05100205,,1
03287000,"KENTUCKY RIVER AT LOCK 6 NEAR SALVISA, KY",37.92563166,-84.82133810,F,NAD83, 487.89,,,05100205,,1
03287250,"KENTUCKY RIVER AT LOCK 5 NEAR TYRONE, KY",38.05288050,-84.83119890,1,NAD83, 473.22,,,05100205,,1
03287500,"KENTUCKY RIVER AT LOCK 4 AT FRANKFORT, KY",38.20173880,-84.88161710,F,NAD83, 461.58,,,05100205,,1
03287580,"N ELKHORN CR AT MAN O WAR BLVD NR CADENTOWN, KY",38.02841118,-84.40187980,F,NAD83,,,,05100205,,1
03287590,"N ELKHORN CR AT WINCHESTER RD NR LEXINGTON, KY",38.04006944,-84.41111110,F,NAD83, 920.8,,,05100205,,1
03287600,"N ELKHORN CR AT BRYAN STATION RD AT MONTROSE, KY",38.07646608,-84.41326940,F,NAD83, 891.54,,,05100205,,1
03288100,"NORTH ELKHORN CREEK AT GEORGETOWN, KY",38.21951870,-84.56299800,F,NAD83, 784.09,,,05100205,,1
03288110,"ROYAL SPRINGS AT GEORGETOWN, KY",38.20951888,-84.56188680,F,NAD83, 797.12,,,05100205,,1
03288180,"CANE RUN CREEK AT CITATION BLVD NR LEXINGTON, KY",38.09166667,-84.50138889,M,NAD83, 888.88,,,05100205,,1
03288190,"TRIB TO CANE RUN CR AT NEWTOWN PK NR LEXINGTON, KY",38.11361110,-84.48277780,M,NAD83, 889.02,,,05100205,,1
03288200,"CANE RUN AT BEREA ROAD NEAR DONERAIL, KY",38.13868695,-84.51716250,F,NAD83,,,,05100205,,1
03289000,"SOUTH ELKHORN CREEK AT FORT SPRING, KY",38.04313220,-84.62633180,F,NAD83, 834.20,,,05100205,,1
03289193,"WOLF RUN AT OLD FRANKFORT PIKE AT LEXINGTON, KY",38.06674334,-84.55438520,H,NAD83, 861.79,,,05100205,,1
03289200,"TOWN BRANCH AT YARNALLTON ROAD AT YARNALLTON, KY",38.10368700,-84.58799770,F,NAD83, 821.82,,,05100205,,1
03289300,"SOUTH ELKHORN CREEK NEAR MIDWAY, KY",38.14090820,-84.64522200,H,NAD83, 779.73,,,05100205,,1
03289500,"ELKHORN CREEK NEAR FRANKFORT, KY",38.26868254,-84.81467140,U,NAD83, 540.29,,,05100205,,1
03290080,"KENTUCKY RIVER AT LOCK 3 AT GEST, KY",38.41673530,-84.88078290,U,NAD83, 445.29,,,05100205,,1
03290500,"KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY",38.43895654,-84.96328440,F,NAD83, 433.36,,,05100205,,1
03291000,"EAGLE CREEK AT SADIEVILLE, KY",38.38951686,-84.54327590,U,NAD83, 756.04,,,05100205,,1
03291500,"EAGLE CREEK AT GLENCOE, KY",38.70645380,-84.82480890,1,NAD83, 507.51,,,05100205,,1
03292460,"HARRODS CREEK NEAR LA GRANGE, KY",38.44728767,-85.40912490,U,NAD83, 662.64,,,05140101,,1
03292470,"HARRODS CREEK AT HIGHWAY 329 NR GOSHEN, KY.",38.36117864,-85.57459969,1,NAD83, 441.11,,,05140101,,1
03292474,"GOOSE CREEK AT OLD WESTPORT RD NR ST MATTHEWS, KY",38.27590360,-85.60607200,S,NAD83, 545.32,,,05140101,,1
03292475,"GOOSE CREEK AT US HWY 42 NEAR GLENVIEW ACRES, KY",38.30340270,-85.62801689,F,NAD83, 429.48,,,05140101,,1
03292480,"LITTLE GOOSE CREEK NEAR HARRODS CREEK, KY",38.31276350,-85.62615580,1,NAD83, 442.85,,,05140101,,1
03292494,"OHIO RIVER AT WATER TOWER AT LOUISVILLE, KY",38.28118120,-85.70218430,S,NAD83, 406.68,,,05140101,,1
03292500,"SOUTH FORK BEARGRASS CREEK AT LOUISVILLE, KY",38.21145920,-85.70246130,U,NAD83, 444.76,,,05140101,,1
03292550,"S FK BEARGRASS CR AT WINTER AVE AT LOUISVILLE, KY",38.23451530,-85.73051750,U,NAD83,,,,05140101,,1
03293000,"M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,",38.23729300,-85.66468340,U,NAD83, 475.76,,,05140101,,1
03293500,"M FK BEARGRASS CR AT LEXINGTON RD AT LOUISVILLE,KY",38.25034895,-85.71662870,U,NAD83, 430.50,,,05140101,,1
03293510,"BEARGRASS CREEK AT RIVER ROAD AT LOUISVILLE, KY",38.26590398,-85.72079550,S,NAD83, 411.74,,,05140102,,1
03293530,"MUDDY FK AT MOCKINGBIRD VALLEY RD AT LOUISVILLE,KY",38.27645917,-85.69357300,U,NAD83, 424.62,,,05140101,,1
03294500,"OHIO RIVER AT LOUISVILLE, KY",38.28034736,-85.79913050,F,NAD83, 373.18,,,05140101,,1
03294550,"MILL CREEK CUTOFF NEAR LOUISVILLE, KY",38.17756990,-85.86690860,U,NAD83, 413.92,,,05140101,,1
03294570,"MILL CREEK AT ORELL ROAD NEAR LOUISVILLE, KY",38.07812588,-85.88996350,F,NAD83, 405.51,,,05140101,,1
03295400,"SALT RIVER AT GLENSBORO, KY",38.00201594,-85.06050850,F,NAD83, 584.52,,,05140102,,1
03295702,"BULLSKIN CREEK NEAR SIMPSONVILLE, KY",38.21868100,-85.30190090,M,NAD83,,,,05140102,,1
03295890,"BRASHEARS CREEK AT TAYLORSVILLE, KY",38.03700830,-85.34078670,F,NAD83, 466.23,,,05140102,,1
03297800,"CEDAR CREEK AT HWY 1442 NEAR SHEPHERDSVILLE, KY",37.99111110,-85.64111110,H,NAD83, 422.19,,,05140102,,1
03297845,"FLOYDS FORK NEAR CRESTWOOD, KY",38.29868070,-85.42662530,U,NAD83,,,,,,1
03297900,"FLOYDS FORK NEAR PEWEE VALLEY, KY",38.28534776,-85.46745920,F,NAD83, 598.90,,,05140102,,1
03298000,"FLOYDS FORK AT FISHERVILLE, KY",38.18840166,-85.46023500,U,NAD83, 542.04,,,05140102,,1
03298135,"CHENOWETH RUN AT RUCKRIEGAL PARKWAY, KY",38.19479109,-85.55718100,U,NAD83, 593.74,,,05140102,,1
03298150,"CHENOWETH RUN AT GELHAUS LANE NEAR FERN CREEK, KY",38.16006729,-85.54217970,U,NAD83, 532.66,,,05140102,,1
03298200,"FLOYDS FORK NEAR MT WASHINGTON, KY",38.08534216,-85.55495560,U,NAD83, 456.84,,,05140102,,1
03298242,"CEDAR CREEK AT FAIRMOUNT RD NR MT WASHINGTON, KY",38.12284356,-85.42801079,U,NAD83,,,,05140102,,1
03298250,"CEDAR CREEK AT THIXTON ROAD NEAR LOUISVILLE, KY",38.07923210,-85.61606830,H,NAD83, 549.40,,,05140102,,1
03298300,PENNSLYVANIA RUN AT MT WASHINGTON RD NR LOUISVILLE,38.08756629,-85.64245800,U,NAD83, 522.70,,,05140102,,1
03298500,"SALT RIVER AT SHEPHERDSVILLE, KY",37.98506585,-85.71745910,F,NAD83, 406.11,,,05140102,,1
03298550,"LONG LICK AT CLERMONT, KY",37.92784138,-85.65356880,F,NAD83, 461.84,,,05140102,,1
03298940,"ROLLING FORK AT HWY 208 AT CALVARY, KY",37.51250000,-85.26111110,S,NAD83, 605.38,,,05140103,,1
03299000,"ROLLING FORK NEAR LEBANON, KY",37.49728720,-85.32385120,U,NAD83, 580.74,,,05140103,,1
03299500,"ROLLING FORK AT NEW HAVEN, KY",37.64950630,-85.59746170,U,NAD83, 438.85,,,05140103,,1
03300400,"BEECH FORK AT MAUD, KY",37.83283985,-85.29606860,F,NAD83, 529.52,,,05140103,,1
03301000,"BEECH FORK AT BARDSTOWN, KY",37.79700569,-85.48079190,F,NAD83, 438.66,,,05140103,,1
03301500,"ROLLING FORK NEAR BOSTON, KY",37.76728530,-85.70384880,F,NAD83, 400.04,,,05140103,,1
03301700,"MILL CREEK NEAR FORT KNOX, KY",37.88340164,-85.91440710,F,NAD83,,,,05140104,,1
03301900,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",38.17562420,-85.61523700,H,NAD83, 550.25,,,05140102,,1
03301940,"NORTHERN DITCH AT OKOLONA, KY",38.15034660,-85.69357140,U,NAD83, 447.00,,,05140102,,1
03302000,"POND CREEK NEAR LOUISVILLE, KY",38.11979160,-85.79579550,M,NAD83, 429.76,,,05140102,,1
03302030,"POND CREEK AT PENDLETON ROAD NEAR LOUISVILLE, KY",38.05423677,-85.87162960,U,NAD83, 404.22,,,05140102,,1
03302050,"BRIER CREEK AT PENDELTON ROAD NEAR LOUISVILLE, KY",38.04693096,-85.85726810,1,NAD83, 436.66,,,05140102,,1
03302110,OTTER CREEK AT OTTER CR PARK NEAR ROCK HAVEN KY.,37.92340395,-86.03052080,U,NAD83,,,,05140104,,1
03303205,"SINKING CREEK NEAR LODIBURG, KY",37.86839594,-86.38775370,U,NAD83,,,,05140104,,1
03303280,"OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN",37.89950088,-86.70554179,F,NAD83, 346.98,,,05140201,,1
03305000,"GREEN RIVER NEAR MCKINNEY, KY",37.42202127,-84.75022430,U,NAD83, 893.12,,,05110005,,1
03306000,"GREEN RIVER NEAR CAMPBELLSVILLE, KY",37.24034130,-85.34718480,F,NAD83, 499.55,,,05110001,,1
03306500,"GREEN RIVER AT GREENSBURG, KY",37.25367130,-85.50302150,F,NAD83, 531.24,,,05110001,,1
03307000,"RUSSELL CREEK NEAR COLUMBIA, KY",37.12547797,-85.40407480,1,NAD83, 604.72,,,05110001,,1
03307260,"LITTLE PITMAN CREEK NEAR CAMPBELLSVILLE, KY",37.34728540,-85.39024140,U,NAD83,,,,05110001,,1
03308500,"GREEN RIVER AT MUNFORDVILLE, KY",37.26944444,-85.88805560,F,NAD83, 451.27,,,05110001,,1
03309000,"GREEN RIVER AT MAMMOTH CAVE, KY",37.18004845,-86.11247570,S,NAD83, 409.35,,,05110001,,1
03310000,"NORTH FORK NOLIN RIVER AT HODGENVILLE, KY",37.57805556,-85.75361110,U,NAD83, 693.00,,,05110001,,1
03310300,"NOLIN RIVER AT WHITE MILLS, KY",37.56200389,-86.03663330,U,NAD83, 589.68,,,05110001,,1
03310400,"BACON CREEK NEAR PRICEVILLE, KY",37.35194444,-85.96611110,U,NAD83, 580.39,,,05110001,,1
03311500,"GREEN RIVER AT LOCK 6 AT BROWNSVILLE, KY",37.20699194,-86.26108680,F,NAD83, 413.03,,,05110001,,1
03311600,"BEAVERDAM CREEK AT RHODA, KY",37.15504679,-86.22636680,U,NAD83, 513.81,,,05110001,,1
03312765,"BEAVER CREEK AT HWY 31 E NEAR GLASGOW, KY",37.03477317,-85.90358710,U,NAD83,,,,05110002,,1
03313000,"BARREN RIVER NEAR FINNEY, KY",36.89504634,-86.13387310,F,NAD83, 399.35,,,05110002,,1
03313700,"WEST FORK DRAKES CREEK NEAR FRANKLIN, KY",36.72337380,-86.55221750,H,NAD83, 581.73,,,05110002,,1
03314000,"DRAKES CREEK NEAR ALVATON, KY",36.89531974,-86.38054600,F,NAD83, 441.60,,,05110002,,1
03314500,"BARREN RIVER AT BOWLING GREEN, KY",37.00282010,-86.43276800,F,NAD83, 409.16,,,05110002,,1
03315500,"GREEN RIVER AT LOCK 4 AT WOODBURY, KY",37.18226814,-86.62998829,F,NAD83, 378.72,,,05110003,,1
03316275,"MUD RIVER NEAR HUNTSVILLE, KY",37.12337754,-86.90055060,U,NAD83,,,,05110003,,1
03316500,"GREEN RIVER AT PARADISE, KY",37.26393160,-86.97777260,M,NAD83, 362.79,,,05110003,,1
03318800,"CANEY CREEK NEAR HORSE BRANCH, KY",37.46393980,-86.65554190,T,NAD83, 415.77,,,05110004,,1
03319000,"ROUGH RIVER NEAR DUNDEE, KY",37.54755140,-86.72165460,F,NAD83, 392.84,,,05110004,,1
03319600,"ROUGH RIVER AT HARTFORD, KY",37.45310356,-86.91082630,U,NAD83, 351.57,,,05110005,,1
03320000,"GREEN RIVER AT LOCK 2 AT CALHOUN, KY",37.53393500,-87.26388730,F,NAD83, 353.62,,,05110005,,1
03320500,"POND RIVER NEAR APEX, KY",37.12226550,-87.31944310,M,NAD83, 384.40,,,05110006,,1
03321210,"CYPRESS CREEK NEAR CALHOUN, KY",37.48893470,-87.28610940,U,NAD83,,,,,,1
03321350,"SOUTH FORK PANTHER CREEK NEAR WHITESVILLE, KY",37.61893920,-86.88749179,U,NAD83, 399.64,,,05110005,,1
03321500,"GREEN RIVER AT LOCK 1 AT SPOTTSVILLE, KY",37.85837740,-87.40972940,U,NAD83, 339.56,,,05110005,,1
03322360,"BEAVERDAM CREEK NEAR CORYDON, KY",37.70393160,-87.69779330,U,NAD83,,,,05140202,,1
03381700,"OHIO RIVER AT OLD SHAWNEETOWN, IL-KY",37.69250000,-88.13472220,F,NAD83, 309.10,,,05140203,,1
03383000,"TRADEWATER RIVER AT OLNEY, KY",37.22393575,-87.78056590,F,NAD83, 361.45,,,05140205,,1
03384100,"TRADEWATER RIVER NEAR PROVIDENCE, KY",37.39671307,-87.84501540,U,NAD83, 322.17,,,05140205,,1
03399800,"OHIO RIVER AT SMITHLAND DAM, SMITHLAND, KY",37.15922215,-88.42726160,F,NAD83, 289.09,,,05140203,,1
03400500,"POOR FORK AT CUMBERLAND, KY",36.97398059,-82.99294000,F,NAD83, 1409.72,,,05130103,,1
03400785,"MARTINS FORK ABOVE SMITH, KY",36.72619838,-83.28795800,U,NAD83, 1351.19,,,,,1
03400800,"MARTINS FORK NEAR SMITH, KY",36.75230974,-83.25740120,F,NAD83, 1258.47,,,05130101,,1
03400986,"MARTIN'S FORK NEAR HARLAN, KY",36.84453290,-83.32351480,M,NAD83, 1099.27,,,05130101,,1
03401000,"CUMBERLAND RIVER NEAR HARLAN, KY",36.84675484,-83.35573860,F,NAD83, 1138.58,,,05130101,,1
03401428,"BENNETTS FORK AT MIDDLESBORO, KY",36.60174827,-83.75158330,U,NAD83,,,,,,1
03401450,"STONY FORK NEAR MOUTH AT MIDDLESBORO, KY",36.61424859,-83.75325020,U,NAD83,,,,05130101,,1
03403500,"CUMBERLAND RIVER AT BARBOURVILLE, KY",36.86230970,-83.88742480,F,NAD83, 942.49,,,05130101,,1
03403910,"CLEAR FORK AT SAXTON, KY",36.63397105,-84.11159690,H,NAD83, 921.43,,,05130101,,1
03404000,"CUMBERLAND RIVER AT WILLIAMSBURG, KY",36.74341700,-84.15604490,F,NAD83, 891.02,,,05130101,,1
03404500,"CUMBERLAND RIVER AT CUMBERLAND FALLS, KY",36.83730360,-84.34327030,U,NAD83, 824.71,,,05130101,,1
03404900,"LYNN CAMP CREEK AT CORBIN, KY",36.95147650,-84.09354270,F,NAD83, 1048.48,,,05130101,,1
03406500,"ROCKCASTLE RIVER AT BILLOWS, KY",37.17119520,-84.29604700,F,NAD83, 802.68,,,05130102,,1
03407500,"BUCK CREEK NEAR SHOPVILLE, KY",37.21063659,-84.46438450,U,NAD83, 831.05,,,05130103,,1
03410500,"SOUTH FORK CUMBERLAND RIVER NEAR STEARNS, KY",36.62702209,-84.53327230,F,NAD83, 765.36,,,05130104,,1
03410590,"ROCK CREEK NEAR YAMACRAW, KY",36.70277778,-84.56305560,U,NAD83, 737.58,,,05130101,,1
03410600,"SOUTH FORK CUMBERLAND RIVER NEAR YAMACRAW, KY",36.72563260,-84.54382830,S,NAD83,,,,05130101,,1
03413200,"BEAVER CREEK NEAR MONTICELLO, KY",36.79757036,-84.89605849,S,NAD83, 805.12,,,05130103,43,1
03414078,"CROCUS CREEK NEAR AMANDAVILLE, KY",36.88702778,-85.33028610,1,NAD83, 547.98,,,,,1
03414100,"CUMBERLAND RIVER AT BURKESVILLE, KY",36.78672880,-85.36524060,F,NAD83, 499.61,,,05130103,,1
03435105,"RED RIVER AT DOT, KY",36.67665830,-86.95208610,H,NAD83, 457.67,,,05130206,,1
03437480,"S FK LITTLE RIVER AT HWY 68/80 NR HOPKINSVILLE, KY",36.84976640,-87.35222690,S,NAD83, 550.64,,,05130205,,1
03437495,"S FK LITTLE R AT HWY 68 BY-PASS AT HOPKINSVILLE,KY",36.84948934,-87.42889540,S,NAD83, 520.00,,,05130205,,1
03610000,"CLARKS RIVER AT MURRAY, KY",36.59283330,-88.30003860,U,NAD83, 459.73,,,06040006,,1
03610200,"CLARKS RIVER AT ALMO, KY",36.69172170,-88.27364700,M,NAD83, 413.35,,,06040006,,1
03610545,"WEST FORK CLARKS RIVER NEAR BREWERS, KY",36.78005619,-88.46754230,U,NAD83, 370.05,,,06040006,,1
